ADM_CD,year,month,LST,NDVI,NDBI,Albedo
11010530,2024,1,5.034701175,0.177842762,-0.110115884,0.076878679
11010540,2024,1,3.924910765,0.328840238,-0.181096154,0.138844488
11010550,2024,1,2.792234534,0.205267044,-0.095468859,0.209856518
11010560,2024,1,2.319583593,0.257771437,-0.105905639,0.230052807
11010570,2024,1,3.266041771,0.127924715,-0.075397883,0.288913707
11010580,2024,1,4.553090549,0.167684252,-0.094731563,0.10894891
11010600,2024,1,5.654546779,0.217969979,-0.110812309,0.106447573
11010610,2024,1,4.744967782,0.201788398,-0.103121491,0.086763773
11010630,2024,1,6.4305974,0.154000133,-0.022440229,0.070164777
11010640,2024,1,6.2678797,0.189782376,-0.063262304,0.067016472
11010670,2024,1,7.302942271,0.176995702,-0.008754183,0.070574993
11010680,2024,1,7.383192574,0.208392282,-0.003079755,0.074545333
11010690,2024,1,6.339145269,0.180345737,-0.05531588,0.071219823
11010700,2024,1,6.453209983,0.187872216,-0.057602735,0.0690499
11010710,2024,1,6.009102777,0.147481007,-0.027884073,0.060118349
11010720,2024,1,3.562562236,0.238692509,-0.124270355,0.2052869
11010730,2024,1,5.878267582,0.210146936,-0.102576868,0.072161678
11020520,2024,1,4.028670059,0.206806693,0.015149882,0.096131836
11020540,2024,1,4.226404626,0.13858909,-0.037357507,0.224953004
11020550,2024,1,4.724639194,0.149474099,-0.011391218,0.094137717
11020570,2024,1,3.10226685,0.2418269,-0.148845915,0.071447978
11020580,2024,1,3.784603851,0.192907367,-0.116544084,0.134375071
11020590,2024,1,5.344215268,0.152566527,-0.016337199,0.061177359
11020600,2024,1,4.789777144,0.17130736,0.085733406,0.105795672
11020650,2024,1,1.728492304,0.142858733,-0.021507723,0.069272745
11020670,2024,1,3.998671028,0.132903247,-0.012133056,0.073647525
11020680,2024,1,4.601434471,0.193770357,-0.017156013,0.135631527
11020690,2024,1,5.684713139,0.134445489,-0.037740935,0.075045256
11020700,2024,1,5.906967143,0.169618593,-0.046189784,0.069452525
11020710,2024,1,2.982451034,0.231428009,-0.105187883,0.037203785
11020720,2024,1,3.799618956,0.163701261,-0.081154932,0.05826461
11020730,2024,1,2.550488589,0.166697513,-0.081869119,0.075927929
11030510,2024,1,5.399433006,0.203627046,-0.051945779,0.092693974
11030520,2024,1,3.927995744,0.203170471,-0.096921211,0.134430401
11030530,2024,1,6.469993753,0.129709681,-0.022454027,0.121733931
11030570,2024,1,5.756393931,0.104271186,-0.045402661,0.112034802
11030580,2024,1,6.260231092,0.183688281,-0.066915823,0.131617442
11030590,2024,1,6.155173056,0.104379725,-0.025384502,0.163134989
11030630,2024,1,3.720290167,0.087764725,-0.028061361,0.14142137
11030640,2024,1,4.336495909,0.051623674,-0.08627973,0.06396463
11030650,2024,1,2.644651477,0.118953586,-0.030773912,0.264159879
11030660,2024,1,1.000097328,0.194989424,-0.064247534,0.187727546
11030690,2024,1,5.192987147,0.06346844,-0.121991566,0.119997976
11030700,2024,1,5.938608058,0.082484955,-0.060471056,0.099950564
11030710,2024,1,6.245556686,0.114380873,-0.030506905,0.153349501
11030720,2024,1,5.179946334,0.160470171,-0.067962647,0.054107994
11030730,2024,1,5.006862636,0.121739909,-0.092896332,0.103165574
11030740,2024,1,4.754368377,0.147247283,-0.110649646,0.112893045
11040520,2024,1,-1.361920847,0.16672479,-0.053822276,0.084876635
11040540,2024,1,0.851822047,0.164299279,-0.035106997,0.082376475
